ID,Name,Description,Short Name,File Type,CSS Class,Product ID
1,jersey.jpg,Nike Arizona Wildcats Basketball Jersey,jersey,jpg,product-image,1
2,hoodie.jpg,UA Vintage Hoodie,hoodie,jpg,product-image,2
3,cap2.jpg,UA Wildcats Cap,cap2,jpg,product-image,3
4,water-bottle.jpg,UA Water Bottle,water-bottle,jpg,product-image,4
5,keychain.jpg,Wildcat Keychain,keychain,jpg,product-image,5
6,t-shirt.jpg,Arizona Wildcats T-Shirt,t-shirt,jpg,product-image,6
7,mug.jpg,University of Arizona Coffee Mug,mug,jpg,product-image,7
8,beanie.jpg,UA Cuffed Pom Beanie,beanie,jpg,product-image,8
9,backpack.jpg,Arizona Wildcats Backpack,backpack,jpg,product-image,9
10,shorts.jpg,UA Basketball Shorts,shorts,jpg,product-image,10
11,pennant.jpg,Arizona Wildcats Pennant,flag,jpg,product-image,11
12,umbrella.jpg,UA Wildcats Umbrella,umbrella,jpg,product-image,12
13,plush.jpg,Arizona Wildcats Plush Mascot,plush,jpg,product-image,13
14,bucket-hat.jpg,UA Reversible Bucket Hat,bucket-hat,jpg,product-image,14

