ID,Name,Description,Feature,Average Rating,Price,Category,Pokemon,Location
1,Nike Arizona Wildcats Basketball Jersey,"Step up your game day style with this sleek Arizona Wildcats #1 basketball jersey! Designed in a bold navy with vibrant red and white accents, this jersey is perfect for showing off your Wildcat pride.","100% authentic Nike product,Dri-FIT technology,Official NCAA licensed product,Machine washable",4.5,89.99,Apparel,charizard,Tokyo
2,UA Vintage Hoodie,"Comfortable vintage-style hoodie in beige with the University of Arizona logo. Featuring a graphic of the iconic Old Main Campus building at the back.","100% cotton,Adjustable hood,Machine washable",4.7,49.99,Apparel,pikachu,New York
3,UA Wildcats Cap,"Official University of Arizona cap in white. Embroidered Wildcat logo with a special tag 'Viva Los Gatos' a.k.a Long live Cats!","Adjustable size,Breathable fabric,UV protection",4.2,29.99,Accessories,bulbasaur,London
4,UA Water Bottle,"Stay hydrated with this University of Arizona branded water bottle. Clear plastic and a navy blue cap - bring it your class, gym or anywhere!","BPA-free,24oz capacity,Leak-proof lid",4.0,19.99,Gifts,squirtle,Paris
5,Wildcat Keychain,"Decorate your bag with this official University of Arizona keychain. A plushie of Wildcat with an Arizona attire, perfect as gifts for your loved ones.","18x10cm,Soft material,Sturdy hook",4.3,9.99,Gifts,jigglypuff,Sydney
6,Arizona Wildcats T-Shirt,"Classic University of Arizona t-shirt in black with the arched graphics. Perfect for everyday, whether you are going to class or day-out.","100% cotton,Machine washable,Unisex design",4.8,24.99,Apparel,eevee,Berlin
7,University of Arizona Coffee Mug,"Brew your morning coffee or tea with this official UA coffee mug. Available in navy-red colorway and a Wildcat mascot at the center.","Ceramic,Microwave and dishwasher safe",3.9,12.99,Gifts,snorlax,Rome
8,UA Cuffed Pom Beanie,"Stay warm while showing your Wildcat pride by wearing this official UA beanie. With red-navy color way and a cuffed pom at the top.","Soft knit fabric,Embroidered logo,One size fits most",4.1,19.99,Accessories,mewtwo,Madrid
9,Arizona Wildcats Backpack,"Spacious backpack with multiple compartments for all your books and gear. Features the official UA logo embroidered on the front pocket.","Water-resistant material,Padded laptop sleeve,Adjustable straps",4.6,59.99,Accessories,gengar,Toronto
10,UA Basketball Shorts,"Performance basketball shorts in Arizona Wildcats colors. Perfect for playing or training, featuring the UA logo on the left leg.","Moisture-wicking fabric,Elastic waistband,Side pockets",4.4,34.99,Apparel,dragonite,Chicago
11,Arizona Wildcats Pennant,"Classic felt pennant featuring the University of Arizona logo and colors. Perfect for decorating your dorm room or home office.","Felt material,12x30 inches,Official UA colors",4.2,14.99,Gifts,mew,Vancouver
12,UA Wildcats Umbrella,"Stay dry on rainy days with this compact UA umbrella. Features alternating navy and red panels with the Wildcats logo.","Auto-open mechanism,Fiberglass ribs,Convenient carrying case",4.0,24.99,Accessories,lucario,Seattle
13,Arizona Wildcats Plush Mascot,"Adorable plush Wildcat mascot wearing an Arizona jersey. Soft and huggable for fans of all ages.","10 inches tall,Super soft material,Officially licensed",4.7,19.99,Gifts,ditto,Mexico City
14,UA Reversible Bucket Hat,"Stylish reversible bucket hat featuring University of Arizona branding. One side is classic navy with the UA logo, and the other is bold red with a Wildcat mascot pattern.","Reversible design,100% cotton,One size fits most",4.5,27.99,Accessories,scyther,San Francisco
